順位,名前,点数
2613,くろがね工作所,81
142,村田製作所,81
2834,鈴茂器工,81
2837,東京コスモス電機,81
622,ニッコンホールディングス,81
1704,佐藤食品工業,81
918,栗本鐵工所,81
3033,買取王国,81
3032,フジタコーポレーション,81
2423,プロルート丸光,81
554,わらべや日洋,81
3058,モバイルクリエイト,81
389,京浜急行電鉄,81
1715,フジミインコーポレーテッド,81
66,日本たばこ産業,81
1288,西部電気工業,81
61,キリンホールディングス,81
1290,サッポロドラッグストアー,81
2677,ヤマダコーポレーション,81
295,サンドラッグ,80
545,新日鉄住金ソリューションズ,80
544,オリエントコーポレーション,80
3523,フューチャーベンチャーキャピタル,80
2487,アイケイ,80
1487,北陸電気工事,80
3239,テクノアルファ,80
129,飯田グループホールディングス,80
3247,プロシップ,80
377,日清オイリオグループ,80
2478,富士テクニカ宮津,80
2274,ハードオフコーポレーション,80
719,日立キャピタル,80
2897,東亜バルブエンジニアリング,80
896,アークランドサカモト,80
2762,ケミプロ化成,80
1432,小池酸素工業,80
437,マックスバリュ西日本,80
213,長谷工コーポレーション,80
1064,大崎電気工業,80
230,ライフコーポレーション,80
2420,アグロ　カネショウ,80
2717,小田原エンジニアリング,80
323,前田建設工業,80
2184,広栄化学工業,80
3493,アエリア,80
1435,キムラユニティー,80
2935,日本社宅サービス,80
2278,アイエックス・ナレッジ,80
980,西川ゴム工業,80
2614,さくらインターネット,80
140,東京急行電鉄,80
612,日本空港ビルデング,80
3153,ジョルダン,80
2932,スパークス・グループ,80
2662,クリエートメディック,80
446,良品計画,80
1001,理想科学工業,80
3591,日糧製パン,80
368,日本特殊陶業,80
360,アシックス,80
