順位,名前,点数
889,イトーキ,70
890,ＭＣＪ,1
891,横河ブリッジホールディングス,68
892,日本パーカライジング,81
893,アオキスーパー,102
894,ユアサ・フナショク,41
895,日本コークス工業,76
896,アークランドサカモト,80
897,大阪ソーダ,60
898,中越パルプ工業,74
899,オーエスジー,45
900,ナラサキ産業,85
901,ヤマナカ,57
902,ソーダニッカ,63
903,北海道瓦斯,62
904,カドカワ,152
905,日本毛織,98
906,日本信号,76
907,品川リフラクトリーズ,69
908,飯野海運,65
909,太平洋工業,51
910,サトーホールディングス,57
911,京葉瓦斯,51
912,フィールズ,60
913,極東開発工業,76
914,ノリタケカンパニーリミテド,70
915,不二サッシ,44
916,アンリツ,77
917,ミクニ,76
918,栗本鐵工所,81
919,正栄食品工業,72
920,大豊工業,53
921,トーカイ,70
922,第四銀行,67
923,くらコーポレーション,88
924,足利ホールディングス,77
925,マックスバリュ北海道,76
926,ラクト・ジャパン,85
927,日本車輌製造,55
928,三井製糖,30
929,関西アーバン銀行,86
930,ハローズ,75
931,サニックス,62
932,キヤノン電子,71
933,バンドー化学,111
934,日本電子,55
935,藤森工業,82
936,亀田製菓,106
937,丸全昭和運輸,58
938,岡三証券グループ,76
939,カワニシホールディングス,70
940,日伝,40
941,市光工業,90
942,マミーマート,46
943,科研製薬,91
944,能美防災,23
945,新東工業,65
946,上原成商事,57
947,住友精化,45
948,日本トランスシティ,83
949,共同印刷,58
950,グリー,100
951,ＪＢＣＣホールディングス,43
952,リケンテクノス,91
953,ハマキョウレックス,83
954,山洋電気,90
955,高島,72
956,ベルパーク,120
957,小森コーポレーション,85
958,住江織物,47
959,第一交通産業,53
960,メイコー,70
961,名鉄運輸,32
962,東リ,85
963,山陰合同銀行,69
964,エスケー化研,102
965,三浦工業,93
966,パイロットコーポレーション,78
967,日東紡績,56
968,学研ホールディングス,85
969,ジェコス,62
970,松竹,74
971,アキレス,132
972,萩原電気,92
973,広島ガス,61
974,滋賀銀行,78
975,Ｇ－７ホールディングス,41
976,東京応化工業,82
977,ユニバーサルエンターテインメント,57
978,クワザワ,77
979,キーエンス,66
980,西川ゴム工業,80
981,リテールパートナーズ,91
982,フルサト工業,83
983,カッパ・クリエイト,74
984,大倉工業,90
985,三菱総合研究所,82
986,日本管財,106
987,トリドール,126
988,持田製薬,44
989,堺化学工業,83
990,椿本興業,91
991,新日本空調,65
992,アイフル,65
993,タムラ製作所,81
994,大本組,58
995,Ｋ＆Ｏエナジーグループ,44
996,名工建設,95
997,テクノアソシエ,54
998,古野電気,132
999,アルプス物流,80
1000,ザ・パック,126
1001,理想科学工業,80
1002,ライト工業,90
1003,理研ビタミン,114
1004,カネ美食品,100
1005,中央発條,42
1006,ナック,93
1007,富士機械製造,90
1008,井筒屋,20
1009,新興プランテック,89
1010,東武ストア,61
1011,松井建設,70
